,,,,,,,,,,,,Pitch,Rhythm,Stress,Emphasis,Tempo,Volume,Censorship,Spelling,Alternant,Differentiator,Alphahaptics,Alphakinesics,Formatting,Tactile_Emoticon,Bodily_Emoticon,Nonbodily_Emoticon,Tactile_Emoji,Bodily_Emoji,Nonbodily_Emoji,Emoji_Count,Emoji_Index,Emoticon_Index,TPL_Index
id,created_at,text,likes,quotes,replies,retweets,brand,followers,following,sentiment_subjectivity,sentiment_polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1,2020-01-01 00:10:14,"The #TueYearsEve $20 gift card giveaway is officially over, but the fun has just begun 🤑 \nDidn't win? Open the #TMobileTuesdays app to score more great deals.\n\n📲: https://t.co/TPNm6NUeXx https://t.co/YJBTGfEjcx",862,23,362,105,T-Mobile,1488892,12594,0.47000000000000003,0.4800000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,2.0,2.0,0,2.0
2,2019-12-31 21:00:04,"If you could have 2020 of something, it would be:",517,15,269,92,T-Mobile,1488892,12594,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
3,2019-12-31 20:00:00,"New year, new you, new $20 gift card🤑 \nReply with #TueYearsEve + #contest for your chance to win a $20 gift card to the brand of your choice. Grab yours before they're all gone!\n#TMobileTuesdays https://t.co/Blh216jxuo",7502,2368,37780,3233,T-Mobile,1488892,12594,0.4409090909090909,0.30227272727272725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,1.0,1.0,0,1.0
4,2019-12-31 18:00:00,Start the new year off on the right… vacation 🧳\n\nGet up to 40% off your next hotel stay with @bookingcom and #TMobileTuesdays 💯\n\n📲: https://t.co/ouKMYH1rwP https://t.co/MjXNGTXrCn,508,6,39,101,T-Mobile,1488892,12594,0.22727272727272727,0.06818181818181818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,3.0,3.0,0,4.0
5,2019-12-31 11:00:00,New York drops the ball. We drop money 🤑\n\nKick off 2020 with a $20 gift card to the brand of your choice 🎉 Check back at 2 p.m. ET for your chance to win one from #TMobileTuesdays. https://t.co/mm5UVpxU12,6838,218,1225,2129,T-Mobile,1488892,12594,0.28484848484848485,0.31212121212121213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,2.0,2.0,0,2.0
6,2019-12-25 19:53:44,"Happy Holidays! \n\nAll devices on ""Do Not Disturb."" Because quality time is important 😉\n\nXOXO,\nT-Mobile https://t.co/I0BPiDVarx",1144,12,105,130,T-Mobile,1488892,12594,1.0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,1.0,1.0,0,1.0
7,2019-12-24 20:00:08,A penny saved is a penny earned. $5 saved is_________?,232,2,70,26,T-Mobile,1488892,12594,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
8,2019-12-24 18:00:00,May your holidays be full of tacos 🎁\n\nChoose between a FREE Seasoned Beef Crunchy Taco Supreme🌮 Chips and Nacho Cheese Sauce🧀 or Medium Soft Drink🥤 any day of the week from @TacoBell and #TMobileTuesdays.\n\n📲: https://t.co/BdfXzDRJjj https://t.co/KWju9G8EA9,292,2,36,47,T-Mobile,1488892,12594,0.48750000000000004,0.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,5.0,5.0,0,6.0
9,2019-12-24 16:00:00,We love movies like you love saving $5 🤑😍\n\nGet $5 off a movie ticket 🎟 plus NO ticket fees from @AtomTickets and #TMobileTuesdays.,177,8,17,29,T-Mobile,1488892,12594,0.6,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,3.0,3.0,0,4.0
